#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -120.020   -127.790    -28.240    173.930     91.530
      0.500   -111.006    -31.842    -80.294    -21.544    178.782     98.452
      1.000   -117.794     57.109    -29.015     -5.605    177.022    106.666
      1.500   -118.176    143.561     24.446      4.077    168.788    107.179
      2.000   -115.351    226.708     77.663      7.223    163.799    105.687
      2.500   -111.442    307.908    130.223      8.410    161.001    104.554
      3.000   -107.102    387.980    182.303      8.949    159.285    103.762
      3.500   -102.558    467.337    234.042      9.229    158.142    103.195
      4.000    -97.903    546.205    285.533      9.390    157.332    102.772
      4.500    -93.184    624.720    336.838      9.488    156.729    102.447
      5.000    -88.424    702.968    387.998      9.552    156.263    102.190
      5.500    -83.637    781.007    439.041      9.595    155.893    101.982
      6.000    -78.833    858.879    489.988      9.624    155.593    101.810
      6.500    -74.015    936.613    540.857      9.646    155.343    101.665
      7.000    -69.188   1014.232    591.659      9.661    155.133    101.543
      7.500    -64.355   1091.754    642.404      9.672    154.954    101.437
      8.000    -59.517   1169.192    693.099      9.681    154.799    101.345
      8.500    -54.675   1246.558    743.752      9.687    154.664    101.264
      9.000    -49.830   1323.860    794.366      9.692    154.545    101.192
      9.500    -44.983   1401.106    844.946      9.696    154.440    101.129
     10.000    -40.135   1478.303    895.496      9.698    154.346    101.072
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
