#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.001    -98.628   -119.816   -127.687    -28.359    173.993     93.313
      0.002    -98.657   -119.642   -127.593    -28.289    174.065     93.397
      0.003    -98.685   -119.468   -127.500    -28.218    174.138     93.481
      0.004    -98.713   -119.294   -127.406    -28.147    174.211     93.564
      0.005    -98.741   -119.119   -127.313    -28.076    174.283     93.648
      0.006    -98.769   -118.945   -127.219    -28.005    174.356     93.732
      0.007    -98.797   -118.771   -127.125    -27.933    174.429     93.816
      0.008    -98.825   -118.596   -127.031    -27.862    174.502     93.900
      0.009    -98.853   -118.422   -126.938    -27.790    174.574     93.985
      0.010    -98.881   -118.247   -126.844    -27.718    174.647     94.069
      0.011    -98.908   -118.072   -126.749    -27.646    174.720     94.153
      0.012    -98.936   -117.898   -126.655    -27.574    174.793     94.238
      0.013    -98.964   -117.723   -126.561    -27.501    174.866     94.323
      0.014    -98.991   -117.548   -126.467    -27.429    174.939     94.407
      0.015    -99.018   -117.373   -126.372    -27.356    175.012     94.492
      0.016    -99.046   -117.198   -126.278    -27.284    175.085     94.577
      0.017    -99.073   -117.023   -126.183    -27.211    175.158     94.662
      0.018    -99.100   -116.848   -126.088    -27.138    175.231     94.747
      0.019    -99.127   -116.672   -125.993    -27.064    175.304     94.833
      0.020    -99.154   -116.497   -125.899    -26.991    175.377     94.918
      0.021    -99.181   -116.322   -125.804    -26.917    175.450     95.003
      0.022    -99.208   -116.146   -125.709    -26.844    175.523     95.089
      0.023    -99.235   -115.971   -125.613    -26.770    175.596     95.174
      0.024    -99.262   -115.795   -125.518    -26.696    175.669     95.260
      0.025    -99.288   -115.619   -125.423    -26.621    175.743     95.346
      0.026    -99.315   -115.443   -125.328    -26.547    175.816     95.432
      0.027    -99.341   -115.268   -125.232    -26.473    175.889     95.518
      0.028    -99.368   -115.092   -125.137    -26.398    175.962     95.604
      0.029    -99.394   -114.916   -125.041    -26.323    176.036     95.690
      0.030    -99.421   -114.740   -124.945    -26.248    176.109     95.777
      0.031    -99.447   -114.563   -124.849    -26.173    176.182     95.863
      0.032    -99.473   -114.387   -124.753    -26.098    176.256     95.950
      0.033    -99.499   -114.211   -124.657    -26.022    176.329     96.036
      0.034    -99.525   -114.035   -124.561    -25.947    176.403     96.123
      0.035    -99.551   -113.858   -124.465    -25.871    176.476     96.210
      0.036    -99.577   -113.682   -124.369    -25.795    176.550     96.297
      0.037    -99.602   -113.505   -124.273    -25.719    176.623     96.384
      0.038    -99.628   -113.328   -124.176    -25.642    176.697     96.471
      0.039    -99.654   -113.152   -124.080    -25.566    176.770     96.558
      0.040    -99.679   -112.975   -123.983    -25.489    176.844     96.646
      0.041    -99.705   -112.798   -123.886    -25.413    176.917     96.733
      0.042    -99.730   -112.621   -123.790    -25.336    176.991     96.821
      0.043    -99.755   -112.444   -123.693    -25.259    177.065     96.908
      0.044    -99.781   -112.267   -123.596    -25.181    177.138     96.996
      0.045    -99.806   -112.090   -123.499    -25.104    177.212     97.084
      0.046    -99.831   -111.912   -123.402    -25.026    177.286     97.172
      0.047    -99.856   -111.735   -123.304    -24.949    177.359     97.260
      0.048    -99.881   -111.558   -123.207    -24.871    177.433     97.348
      0.049    -99.905   -111.380   -123.110    -24.793    177.507     97.436
      0.050    -99.930   -111.203   -123.012    -24.714    177.581     97.525
      0.051    -99.955   -111.025   -122.915    -24.636    177.654     97.613
      0.052    -99.980   -110.847   -122.817    -24.557    177.728     97.702
      0.053   -100.004   -110.670   -122.719    -24.479    177.802     97.791
      0.054   -100.028   -110.492   -122.621    -24.400    177.876     97.880
      0.055   -100.053   -110.314   -122.523    -24.320    177.950     97.968
      0.056   -100.077   -110.136   -122.425    -24.241    178.024     98.057
      0.057   -100.101   -109.958   -122.327    -24.162    178.098     98.147
      0.058   -100.125   -109.780   -122.229    -24.082    178.172     98.236
      0.059   -100.149   -109.602   -122.131    -24.002    178.246     98.325
      0.060   -100.173   -109.423   -122.032    -23.922    178.320     98.415
      0.061   -100.197   -109.245   -121.934    -23.842    178.394     98.504
      0.062   -100.221   -109.066   -121.835    -23.762    178.468     98.594
      0.063   -100.245   -108.888   -121.737    -23.681    178.542     98.684
      0.064   -100.268   -108.709   -121.638    -23.601    178.616     98.774
      0.065   -100.292   -108.531   -121.539    -23.520    178.690     98.864
      0.066   -100.316   -108.352   -121.440    -23.439    178.764     98.954
      0.067   -100.339   -108.173   -121.341    -23.358    178.838     99.044
      0.068   -100.362   -107.994   -121.242    -23.276    178.913     99.134
      0.069   -100.385   -107.815   -121.143    -23.195    178.987     99.225
      0.070   -100.409   -107.636   -121.044    -23.113    179.061     99.315
      0.071   -100.432   -107.457   -120.944    -23.031    179.135     99.406
      0.072   -100.455   -107.278   -120.845    -22.949    179.209     99.496
      0.073   -100.478   -107.099   -120.745    -22.867    179.284     99.587
      0.074   -100.500   -106.919   -120.646    -22.784    179.358     99.678
      0.075   -100.523   -106.740   -120.546    -22.702    179.432     99.769
      0.076   -100.546   -106.561   -120.446    -22.619    179.507     99.861
      0.077   -100.568   -106.381   -120.346    -22.536    179.581     99.952
      0.078   -100.591   -106.201   -120.246    -22.453    179.655    100.043
      0.079   -100.613   -106.022   -120.146    -22.369    179.730    100.135
      0.080   -100.636   -105.842   -120.046    -22.286    179.804    100.226
      0.081   -100.658   -105.662   -119.946    -22.202    179.878    100.318
      0.082   -100.680   -105.482   -119.846    -22.118    179.953    100.410
